{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 50.0, 'test-acc': 0.8238806, 'test gap-rms-gender': 0.08257966, 'test gap-rms-race': 0.054586697, 'test bal-acc': 0.81358397}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 30.0, 'test-acc': 0.8106136, 'test gap-rms-gender': 0.07290126, 'test gap-rms-race': 0.040386032, 'test bal-acc': 0.8080609}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.7932559, 'test gap-rms-gender': 0.00051429117, 'test gap-rms-race': 0.0063367384, 'test bal-acc': 0.57526976}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 60.0, 'test-acc': 0.850304, 'test gap-rms-gender': 0.08261709, 'test gap-rms-race': 0.023086788, 'test bal-acc': 0.7339591}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 60.0, 'test-acc': 0.77070206, 'test gap-rms-gender': 0.004788979, 'test gap-rms-race': 0.0052525294, 'test bal-acc': 0.5285763}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 30.0, 'test-acc': 0.81050307, 'test gap-rms-gender': 0.075646274, 'test gap-rms-race': 0.046005793, 'test bal-acc': 0.80737054}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.75876176, 'test gap-rms-gender': 0.024888847, 'test gap-rms-race': 0.002184906, 'test bal-acc': 0.5038654}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.7878386, 'test gap-rms-gender': 0.06257088, 'test gap-rms-race': 0.04687333, 'test bal-acc': 0.80320215}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.80751795, 'test gap-rms-gender': 0.08179847, 'test gap-rms-race': 0.042341076, 'test bal-acc': 0.8012314}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 50.0, 'test-acc': 0.8084024, 'test gap-rms-gender': 0.0028598388, 'test gap-rms-race': 0.012158789, 'test bal-acc': 0.61120486}
