{'alpha': 0.5, 'beta': 0.1, 'lambda': 0.1, 'accuracy': 0.3189607517965727, 'balanced accuracy': 0.5493305458341156, 'gap-rms-gender': 0.050037330254605855, 'gap-rms-race': 0.01702710042204413}
{'alpha': 0.0, 'beta': 0.01, 'lambda': 0.1, 'accuracy': 0.2564953012714207, 'balanced accuracy': 0.5088372772421852, 'gap-rms-gender': 0.006497901477062955, 'gap-rms-race': 0.008510068382596981}
{'alpha': 0.0, 'beta': 0.3, 'lambda': 0.1, 'accuracy': 0.24643449419568822, 'balanced accuracy': 0.5021910604732691, 'gap-rms-gender': 0.001449409777443542, 'gap-rms-race': 0.003669469544299639}
{'alpha': 0.0, 'beta': 10.0, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 3.0, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 0.01, 'lambda': 0.1, 'accuracy': 0.7417357656163627, 'balanced accuracy': 0.7303026752260509, 'gap-rms-gender': 0.1148459061120328, 'gap-rms-race': 0.061185842518388246}
{'alpha': 0.0, 'beta': 10.0, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 10.0, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 30.0, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 10.0, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 3.0, 'lambda': 0.1, 'accuracy': 0.7568822553897181, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 0.01, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 0.3, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 0.1, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 1.0, 'lambda': 0.1, 'accuracy': 0.8040906578220011, 'balanced accuracy': 0.6072760744167435, 'gap-rms-gender': 0.030215494239853244, 'gap-rms-race': 0.006014120771910116}
{'alpha': 0.5, 'beta': 1.0, 'lambda': 0.1, 'accuracy': 0.7003869541182974, 'balanced accuracy': 0.6485051766419203, 'gap-rms-gender': 0.020925966445371008, 'gap-rms-race': 0.04204601640838473}
{'alpha': 0.0, 'beta': 3.0, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 3.0, 'lambda': 0.1, 'accuracy': 0.2754007739082366, 'balanced accuracy': 0.5129919224697387, 'gap-rms-gender': 0.08961786175726891, 'gap-rms-race': 0.0017106323753704647}
{'alpha': 0.5, 'beta': 3.0, 'lambda': 0.1, 'accuracy': 0.7568822553897181, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 1.0, 'lambda': 0.1, 'accuracy': 0.8016583747927032, 'balanced accuracy': 0.7769875080657729, 'gap-rms-gender': 0.17221466836664137, 'gap-rms-race': 0.07375454957575858}
{'alpha': 0.5, 'beta': 3.0, 'lambda': 0.1, 'accuracy': 0.2435599778883361, 'balanced accuracy': 0.5002921413964359, 'gap-rms-gender': 0.00024137783503463625, 'gap-rms-race': 0.0004892626059066394}
{'alpha': 0.0, 'beta': 1.0, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 1.0, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 0.3, 'lambda': 0.1, 'accuracy': 0.30635710337202876, 'balanced accuracy': 0.5413131974975478, 'gap-rms-gender': 0.04210459264619366, 'gap-rms-race': 0.01942344794512613}
{'alpha': 0.5, 'beta': 0.3, 'lambda': 0.1, 'accuracy': 0.7920398009950249, 'balanced accuracy': 0.773411565849986, 'gap-rms-gender': 0.17121575570583264, 'gap-rms-race': 0.07632779802020673}
{'alpha': 0.5, 'beta': 1.0, 'lambda': 0.1, 'accuracy': 0.27761194029850744, 'balanced accuracy': 0.5226326881910708, 'gap-rms-gender': 0.024568245239503187, 'gap-rms-race': 0.013129077522997638}
{'alpha': 0.0, 'beta': 0.03, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 0.03, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 0.01, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 0.03, 'lambda': 0.1, 'accuracy': 0.2555002763957988, 'balanced accuracy': 0.5081799591002045, 'gap-rms-gender': 0.0062803947798433625, 'gap-rms-race': 0.007409227519307121}
{'alpha': 0.0, 'beta': 0.03, 'lambda': 0.1, 'accuracy': 0.24643449419568822, 'balanced accuracy': 0.5021910604732691, 'gap-rms-gender': 0.001449409777443542, 'gap-rms-race': 0.003669469544299639}
{'alpha': 0.0, 'beta': 0.1, 'lambda': 0.1, 'accuracy': 0.2517412935323383, 'balanced accuracy': 0.5056967572304996, 'gap-rms-gender': 0.0037684654213531784, 'gap-rms-race': 0.004823026730620342}
{'alpha': 0.5, 'beta': 0.3, 'lambda': 0.1, 'accuracy': 0.8017689331122166, 'balanced accuracy': 0.7670283959046, 'gap-rms-gender': 0.15590126915925587, 'gap-rms-race': 0.06100085151347487}
{'alpha': 0.5, 'beta': 0.3, 'lambda': 0.1, 'accuracy': 0.7478164731896075, 'balanced accuracy': 0.7150270280611177, 'gap-rms-gender': 0.09283717420413522, 'gap-rms-race': 0.04433451165227715}
{'alpha': 0.0, 'beta': 0.1, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 0.1, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 3.0, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 1.0, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 3.0, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 0.1, 'lambda': 0.1, 'accuracy': 0.7904919845218352, 'balanced accuracy': 0.7725434116933878, 'gap-rms-gender': 0.1720128302383354, 'gap-rms-race': 0.07509689095446917}
