{'alpha': 0.5, 'beta': 0.1, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.7909342177998895, 'balanced accuracy': 0.7675879682382918, 'gap-rms-gender': 0.15855099673419723, 'gap-rms-race': 0.0738039431364964}
{'alpha': 0.0, 'beta': 0.1, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.2517412935323383, 'balanced accuracy': 0.5056967572304996, 'gap-rms-gender': 0.0037684654213531784, 'gap-rms-race': 0.004823026730620342}
{'alpha': 0.5, 'beta': 1.0, 'lr': 0.001, 'lambda': 0.1, 'accuracy': 0.7014925373134329, 'balanced accuracy': 0.6489268486711552, 'gap-rms-gender': 0.019763655017549158, 'gap-rms-race': 0.04106098465797457}
{'alpha': 0.0, 'beta': 10.0, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 0.3, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.30635710337202876, 'balanced accuracy': 0.5413131974975478, 'gap-rms-gender': 0.04210459264619366, 'gap-rms-race': 0.01942344794512613}
{'alpha': 0.0, 'beta': 0.01, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.2564953012714207, 'balanced accuracy': 0.5088372772421852, 'gap-rms-gender': 0.006497901477062955, 'gap-rms-race': 0.008510068382596981}
{'alpha': 0.5, 'beta': 0.03, 'lr': 0.001, 'lambda': 0.1, 'accuracy': 0.7416252072968491, 'balanced accuracy': 0.728377551105813, 'gap-rms-gender': 0.1123176547239153, 'gap-rms-race': 0.05684933234903572}
{'alpha': 0.5, 'beta': 30.0, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.7568822553897181, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 0.01, 'lr': 0.1, 'lambda': 0.1, 'accuracy': 0.7904919845218352, 'balanced accuracy': 0.7726977524243153, 'gap-rms-gender': 0.17069068524669812, 'gap-rms-race': 0.07599371347434189}
{'alpha': 0.0, 'beta': 0.03, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 1.0, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.27805417357656165, 'balanced accuracy': 0.5229248295875067, 'gap-rms-gender': 0.024760707913198194, 'gap-rms-race': 0.012832185091667817}
{'alpha': 0.0, 'beta': 0.03, 'lr': 0.001, 'lambda': 0.1, 'accuracy': 0.24665561083471532, 'balanced accuracy': 0.502337131171487, 'gap-rms-gender': 0.0015460370959398358, 'gap-rms-race': 0.003914100847252959}
{'alpha': 0.0, 'beta': 0.03, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.2555002763957988, 'balanced accuracy': 0.5081799591002045, 'gap-rms-gender': 0.0062803947798433625, 'gap-rms-race': 0.007409227519307121}
{'alpha': 0.5, 'beta': 30.0, 'lr': 0.1, 'lambda': 0.1, 'accuracy': 0.7568822553897181, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 0.01, 'lr': 0.1, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 0.03, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.7877280265339967, 'balanced accuracy': 0.767476372616188, 'gap-rms-gender': 0.15715881971312873, 'gap-rms-race': 0.07569072548268176}
{'alpha': 0.5, 'beta': 0.03, 'lr': 0.1, 'lambda': 0.1, 'accuracy': 0.7903814262023218, 'balanced accuracy': 0.7723160356133514, 'gap-rms-gender': 0.17401121532008812, 'gap-rms-race': 0.07812552957624555}
