{'epsilon': 0.1, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.81028193, 'test gap-rms-gender': 0.036827464, 'test gap-rms-race': 0.002426015, 'test bal-acc': 0.6261828}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.29275844, 'test gap-rms-gender': 0.04259593, 'test gap-rms-race': 0.015600956, 'test bal-acc': 0.5260019}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.7302377, 'test gap-rms-gender': 0.5021579, 'test gap-rms-race': 0.050152373, 'test bal-acc': 0.5345656}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.24311775, 'test gap-rms-gender': 0.0, 'test gap-rms-race': 0.0, 'test bal-acc': 0.5}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 80.0, 'test-acc': 0.75157547, 'test gap-rms-gender': 0.35624748, 'test gap-rms-race': 0.03940362, 'test bal-acc': 0.5278255}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 100.0, 'test-acc': 0.83217245, 'test gap-rms-gender': 0.014920199, 'test gap-rms-race': 0.0106648775, 'test bal-acc': 0.6744444}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 20.0, 'test-acc': 0.8411277, 'test gap-rms-gender': 0.042639, 'test gap-rms-race': 0.023101892, 'test bal-acc': 0.75135696}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 40.0, 'test-acc': 0.7802101, 'test gap-rms-gender': 0.008587601, 'test gap-rms-race': 0.008971574, 'test bal-acc': 0.54828507}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.8087341, 'test gap-rms-gender': 0.13389735, 'test gap-rms-race': 0.04635184, 'test bal-acc': 0.80805403}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.8254284, 'test gap-rms-gender': 0.011066511, 'test gap-rms-race': 0.0070139044, 'test bal-acc': 0.6679828}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.76274186, 'test gap-rms-gender': 0.24564996, 'test gap-rms-race': 0.032098614, 'test bal-acc': 0.5350477}
